x, y, z, phi1, phi2
-0.0246875, -0.0340625, 1e-12, 4.34220089029588, -0.0411651169286157
-0.0240625, -0.0340625, 1e-12, 4.34662534508101, -0.0417425171691065
-0.0234375, -0.0340625, 1e-12, 4.35112688705015, -0.0422992468291715
-0.0228125, -0.0340625, 1e-12, 4.35570376798953, -0.0428295737081282
-0.0221875, -0.0340625, 1e-12, 4.36035356112989, -0.0433275186456965
-0.0215625, -0.0340625, 1e-12, 4.36507312174254, -0.0437868759948545
-0.0209375, -0.0340625, 1e-12, 4.36985854934673, -0.044201239116521
-0.0203125, -0.0340625, 1e-12, 4.3747051522518, -0.0445640311952737
-0.0396875, -0.0334375, 1e-12, 4.25601631600734, -0.0344200393828419
-0.0390625, -0.0334375, 1e-12, 4.25859590600878, -0.0344660251111197
-0.0384375, -0.0334375, 1e-12, 4.26172739694395, -0.0345578419289131
-0.0378125, -0.0334375, 1e-12, 4.26487123201978, -0.0346951792606778
-0.0371875, -0.0334375, 1e-12, 4.26803231162425, -0.0348775680088574
-0.0365625, -0.0334375, 1e-12, 4.27121549817713, -0.0351043767034059
-0.0359375, -0.0334375, 1e-12, 4.27442560428332, -0.0353748064196213
-0.0353125, -0.0334375, 1e-12, 4.27766738013935, -0.0356878845102973
-0.0346875, -0.0334375, 1e-12, 4.2809455000299, -0.0360424572116804
-0.0340625, -0.0334375, 1e-12, 4.28426454775393, -0.0364371811974921
-0.0334375, -0.0334375, 1e-12, 4.28762900082258, -0.0368705141714677
-0.0328125, -0.0334375, 1e-12, 4.29104321327625, -0.0373407046068171
-0.0321875, -0.0334375, 1e-12, 4.29451139697415, -0.0378457807607272
-0.0315625, -0.0334375, 1e-12, 4.29803760121763, -0.0383835391136212
-0.0309375, -0.0334375, 1e-12, 4.30162569057935, -0.0389515324064902
-0.0303125, -0.0334375, 1e-12, 4.30527932082337, -0.0395470574751579
-0.0296875, -0.0334375, 1e-12, 4.30900191281824, -0.0401671431075832
-0.0290625, -0.0334375, 1e-12, 4.31279662436517, -0.0408085381792948
-0.0284375, -0.0334375, 1e-12, 4.31666631988846, -0.041467700352291
-0.0278125, -0.0334375, 1e-12, 4.320613537965, -0.0421407856537378
-0.0271875, -0.0334375, 1e-12, 4.3246404567044, -0.04282363928221
-0.0265625, -0.0334375, 1e-12, 4.32874885703258, -0.0435117880199864
-0.0259375, -0.0334375, 1e-12, 4.33294008397823, -0.0442004346594384
-0.0253125, -0.0334375, 1e-12, 4.33721500611551, -0.0448844548783409
-0.0246875, -0.0334375, 1e-12, 4.34157397337629, -0.0455583970223145
-0.0240625, -0.0334375, 1e-12, 4.346016773512, -0.0462164852704244
-0.0234375, -0.0334375, 1e-12, 4.35054258755828, -0.0468526266712421
-0.0228125, -0.0334375, 1e-12, 4.35514994473437, -0.0474604225393112
-0.0221875, -0.0334375, 1e-12, 4.35983667729245, -0.048033184694345
